Setting,Address,Current,Min,Max,Special Notes
,203108,00,,,
,203109,28,,,
,20310a,00,,,
,20310b,03,,,
,20310c,00,,,
,20310d,01,,,
,20310e,00,,,
,20310f,00,,,
,203110,00,,,
,203111,00,,,
,203112,00,,,
,203113,05,,,
,203200,03,,,
,203201,42,,,
,203202,00,,,
,203203,40,,,
,203204,00,,,
,203205,28,,,
,203206,00,,,
,203207,28,,,
,203208,00,,,
,203209,28,,,
,20320a,00,,,
,20320b,03,,,
,20320c,00,,,
,20320d,01,,,
,20320e,00,,,
,20320f,00,,,
,203210,00,,,
,203211,00,,,
,203212,00,,,
,203213,05,,,
,203300,00,,,
,203301,41,,,
,203302,00,,,
,203303,40,,,
,203304,00,,,
,203305,28,,,
,203306,00,,,
,203307,28,,,
,203308,00,,,
,203309,28,,,
,20330a,00,,,
,20330b,03,,,
,20330c,00,,,
,20330d,01,,,
,20330e,00,,,
,20330f,00,,,
,203310,00,,,
,203311,00,,,
,203312,00,,,
,203313,05,,,
,203400,00,,,
,203401,00,,,
,203402,01,,,
,203403,4f,,,
,203404,01,,,
,203405,20,,,
,203406,01,,,
,203407,20,,,
,203408,01,,,
,203409,20,,,
,20340a,00,,,
,20340b,06,,,
,20340c,00,,,
,20340d,01,,,
,20340e,00,,,
,20340f,00,,,
,203410,00,,,
,203411,00,,,
,203412,00,,,
,203413,05,,,
,203500,01,,,
,203501,23,,,
,203502,01,,,
,203503,16,,,
,203504,01,,,
,203505,20,,,
,203506,01,,,
,203507,20,,,
,203508,01,,,
,203509,20,,,
,20350a,00,,,
,20350b,06,,,
,20350c,00,,,
,20350d,09,,,
,20350e,00,,,
,20350f,00,,,
,203510,00,,,
,203511,00,,,
,203512,00,,,
,203513,05,,,
,203600,01,,,
,203601,52,,,
,203602,01,,,
,203603,03,,,
,203604,00,,,
,203605,50,,,
,203606,00,,,
,203607,50,,,
,203608,00,,,
,203609,50,,,
,20360a,00,,,
,20360b,06,,,
,20360c,00,,,
,20360d,01,,,
,20360e,00,,,
,20360f,0b,,,
,203610,00,,,
,203611,00,,,
,203612,00,,,
,203613,05,,,
,203700,00,,,
,203701,57,,,
,203702,01,,,
,203703,32,,,
,203704,01,,,
,203705,20,,,
,203706,01,,,
,203707,20,,,
,203708,01,,,
,203709,20,,,
,20370a,00,,,
,20370b,04,,,
,20370c,00,,,
,20370d,01,,,
,20370e,00,,,
,20370f,0b,,,
,203710,00,,,
,203711,0e,,,
,203712,00,,,
,203713,05,,,
,204000,01,,,
,204001,00,,,
,204002,00,,,
,204003,0e,,,
,204004,01,,,
,204005,00,,,
,204006,00,,,
,204007,0e,,,
,204008,00,,,
,204009,01,,,
,20400a,01,,,
,20400b,00,,,
,20400c,00,,,
,20400d,0a,,,
,20400e,01,,,
,20400f,00,,,
,205000,00,,,
,205001,00,,,
,205002,00,,,
,205003,00,,,
,205004,00,,,
,205005,24,,,
,205006,33,,,
,205007,10,,,
,205008,00,,,
,205009,00,,,
,20500a,00,,,
,20500b,00,,,
,20500c,00,,,
,20500d,00,,,
,20500e,00,,,
,20500f,00,,,
,205010,00,,,
,205011,00,,,
,205012,00,,,
,205013,00,,,
,205014,00,,,
,205015,00,,,
,205016,0a,,,
,205017,00,,,
,205018,00,,,
,205019,00,,,
,20501a,00,,,
,20501b,06,,,
,20501c,00,,,
,20501d,00,,,
,20501e,00,,,
,20501f,00,,,
,205020,00,,,
,205021,00,,,
,205022,00,,,
,205023,00,,,
,205024,00,,,
,205025,00,,,
,205026,00,,,
,205027,00,,,
,205028,00,,,
,205029,00,,,
,206002,00,,,
,206003,30,,,
,206004,01,,,
,206005,00,,,
VideoA Color Adjust,206006,00,00,01,"00 is negative, 01 is positive. See address 206007."
VideoA Color Adjust,206007,76,76,0b,"7-bit signed integer, 0 value is 00 with byte 206006 set to 01. Negative values start at 7f."
,206008,00,,,
,206009,76,,,
,20600a,01,,,
,20600b,00,,,
,20600c,00,,,
,20600d,76,,,
,20600e,01,,,
,20600f,0a,,,
,206010,00,,,
,206011,00,,,
,206012,00,,,
,206013,00,,,
,206014,00,,,
,206015,00,,,
,206016,00,,,
,206017,00,,,
,206018,00,,,
,206019,00,,,
,20601a,00,,,
,20601b,0a,,,
,20601c,01,,,
,20601d,48,,,
,20601e,00,,,
,20601f,00,,,
,206020,00,,,
,206021,02,,,
,206022,00,,,
,206023,00,,,
,206024,00,,,
,206025,05,,,
,206026,00,,,
,206027,01,,,
,206028,00,,,
,206029,00,,,
,20602a,00,,,
,20602b,00,,,
,20602c,01,,,
,20602d,00,,,
,20602e,01,,,
,20602f,00,,,
,206030,00,,,
,206031,00,,,
,2f7f00,00,,,
